Soc;Année;Mois;Jour;qqt achetée
001;2008;01;1;1
001;2008;01;2;114
001;2008;01;3;68
001;2008;01;4;105
001;2008;01;5;36
001;2008;01;6;157
001;2008;01;7;133
001;2008;01;8;33
001;2008;01;9;235
001;2008;01;10;24
001;2008;01;11;38
001;2008;01;12;207
001;2008;01;13;90
001;2008;01;14;15
001;2008;01;15;200
001;2008;01;16;235
001;2008;01;17;28
001;2008;01;18;3
001;2008;01;19;44
001;2008;01;20;35
001;2008;01;21;139
001;2008;01;22;30
001;2008;01;23;138
001;2008;01;24;150
001;2008;01;25;182
001;2008;01;26;207
001;2008;01;27;11
001;2008;01;28;214
001;2008;01;29;1
001;2008;01;30;212
001;2008;01;31;198
001;2008;02;1;108
001;2008;02;2;26
001;2008;02;3;66
001;2008;02;4;40
001;2008;02;5;155
001;2008;02;6;32
001;2008;02;7;135
001;2008;02;8;97
001;2008;02;9;211
001;2008;02;10;155
001;2008;02;11;52
001;2008;02;12;199
001;2008;02;13;195
001;2008;02;14;148
001;2008;02;15;97
001;2008;02;16;18
001;2008;02;17;128
001;2008;02;18;60
001;2008;02;19;123
001;2008;02;20;138
001;2008;02;21;13
001;2008;02;22;191
001;2008;02;23;108
001;2008;02;24;236
001;2008;02;25;149
001;2008;02;26;36
001;2008;02;27;34
001;2008;02;28;83
001;2008;03;1;234
001;2008;03;2;115
001;2008;03;3;187
001;2008;03;4;234
001;2008;03;5;132
001;2008;03;6;135
001;2008;03;7;217
001;2008;03;8;63
001;2008;03;9;61
001;2008;03;10;242
001;2008;03;11;149
001;2008;03;12;194
001;2008;03;13;15
001;2008;03;14;52
001;2008;03;15;37
001;2008;03;16;228
001;2008;03;17;22
001;2008;03;18;230
001;2008;03;19;236
001;2008;03;20;210
001;2008;03;21;143
001;2008;03;22;54
001;2008;03;23;31
001;2008;03;24;42
001;2008;03;25;54
001;2008;03;26;204
001;2008;03;27;75
001;2008;03;28;30
001;2008;03;29;214
001;2008;03;30;164
001;2008;03;31;55
001;2008;04;1;155
001;2008;04;2;133
001;2008;04;3;228
001;2008;04;4;138
001;2008;04;5;32
001;2008;04;6;143
001;2008;04;7;75
001;2008;04;8;21
001;2008;04;9;144
001;2008;04;10;127
001;2008;04;11;28
001;2008;04;12;9
001;2008;04;13;225
001;2008;04;14;4
001;2008;04;15;217
001;2008;04;16;26
001;2008;04;17;108
001;2008;04;18;20
001;2008;04;19;173
001;2008;04;20;203
001;2008;04;21;8
001;2008;04;22;34
001;2008;04;23;66
001;2008;04;24;14
001;2008;04;25;105
001;2008;04;26;41
001;2008;04;27;142
001;2008;04;28;46
001;2008;04;29;103
001;2008;04;30;227
