prod_code;mois;annee;ventes
PRD001;1;2008;125
PRD001;2;2008;120
PRD001;EADS;2008;114
PRD001;4;20038;107
PRD001;5;2008;125A
PRD001;14;2008;135
PRD001;7;2008;147
PRD001;8;2008;189
PRD001;9;2008;190
PRD001;10;2008;187
PRD001;11;2008;202
PRD001;12;2008;250
PRD001;1;2009;175
PRD001;2;2009;170
PRD001;3;2009;164
PRD001;4;2009;157
PRD001;5;2009;175
PRD001;6;2009;185
PRD001;7;2009;197
PRD001;8;2009;239
PRD001;9;2009;240
PRD001;10;2009;237
PRD001;11;2009;252
PRD001;12;2009;300
PRD002;1;2008;63
PRD002;2;2008;60
PRD002;3;2008;57
PRD002;4;2008;54
PRD002;5;2008;63
PRD002;6;2008;68
PRD002;7;2008;74
PRD002;8;2008;95
PRD002;9;2008;95
PRD002;10;2008;94
PRD002;11;2008;101
PRD002;12;2008;125
PRD002;1;2009;88
PRD002;2;2009;85
PRD002;3;2009;82
PRD002;4;2009;79
PRD002;5;2009;88
PRD002;6;2009;93
PRD002;7;2009;99
PRD002;8;2009;120
PRD002;9;2009;120
PRD002;10;2009;119
PRD002;11;2009;126
PRD002;12;2009;150
PRD003;1;2008;125
PRD003;2;2008;120
PRD003;3;2008;114
PRD003;4;2008;107
PRD003;5;2008;125
PRD003;6;2008;135
PRD003;7;2008;147
PRD003;8;2008;189
PRD003;9;2008;190
PRD003;10;2008;187
PRD003;11;2008;202
PRD003;12;2008;250
PRD003;1;2009;175
PRD003;2;2009;170
PRD003;3;2009;164
PRD003;4;2009;157
PRD003;5;2009;175
PRD003;6;2009;185
PRD003;7;2009;197
PRD003;8;2009;239
PRD003;9;2009;240
PRD003;10;2009;237
PRD003;11;2009;252
PRD003;12;2009;300
PRD004;1;2008;144
PRD004;2;2008;138
PRD004;3;2008;131
PRD004;4;2008;123
PRD004;5;2008;144
PRD004;6;2008;155
PRD004;7;2008;169
PRD004;8;2008;217
PRD004;9;2008;219
PRD004;10;2008;215
PRD004;11;2008;232
PRD004;12;2008;288
PRD004;1;2009;201
PRD004;2;2009;196
PRD004;3;2009;189
PRD004;4;2009;181
PRD004;5;2009;201
PRD004;6;2009;213
PRD004;7;2009;227
PRD004;8;2009;275
PRD004;9;2009;276
PRD004;10;2009;273
PRD004;11;2009;290
PRD004;12;2009;345
PRD005;1;2008;165
PRD005;2;2008;159
PRD005;3;2008;151
PRD005;4;2008;142
PRD005;5;2008;165
PRD005;6;2008;179
PRD005;7;2008;194
PRD005;8;2008;250
PRD005;9;2008;251
PRD005;10;2008;247
PRD005;11;2008;267
PRD005;12;2008;331
PRD005;1;2009;231
PRD005;2;2009;225
PRD005;3;2009;217
PRD005;4;2009;208
PRD005;5;2009;231
PRD005;6;2009;245
PRD005;7;2009;261
PRD005;8;2009;316
PRD005;9;2009;317
PRD005;10;2009;313
PRD005;11;2009;333
PRD005;12;2009;397
PRD006;1;2008;190
PRD006;2;2008;183
PRD006;3;2008;173
PRD006;4;2008;163
PRD006;5;2008;190
PRD006;6;2008;205
PRD006;7;2008;224
PRD006;8;2008;287
PRD006;9;2008;289
PRD006;10;2008;284
PRD006;11;2008;307
PRD006;12;2008;380
PRD006;1;2009;266
PRD006;2;2009;259
PRD006;3;2009;249
PRD006;4;2009;239
PRD006;5;2009;266
PRD006;6;2009;281
PRD006;7;2009;300
PRD006;8;2009;363
PRD006;9;2009;365
PRD006;10;2009;360
PRD006;11;2009;383
PRD006;12;2009;456
PRD007;1;2008;219
PRD007;2;2008;210
PRD007;3;2008;199
PRD007;4;2008;187
PRD007;5;2008;219
PRD007;6;2008;236
PRD007;7;2008;257
PRD007;8;2008;331
PRD007;9;2008;332
PRD007;10;2008;327
PRD007;11;2008;353
PRD007;12;2008;437
PRD007;1;2009;306
PRD007;2;2009;297
PRD007;3;2009;287
PRD007;4;2009;275
PRD007;5;2009;306
PRD007;6;2009;324
PRD007;7;2009;345
PRD007;8;2009;418
PRD007;9;2009;420
PRD007;10;2009;415
PRD007;11;2009;441
PRD007;12;2009;525
PRD008;1;2008;251
PRD008;2;2008;241
PRD008;3;2008;229
PRD008;4;2008;215
PRD008;5;2008;251
PRD008;6;2008;272
PRD008;7;2008;296
PRD008;8;2008;380
PRD008;9;2008;382
PRD008;10;2008;376
PRD008;11;2008;406
PRD008;12;2008;503
PRD008;1;2009;352
PRD008;2;2009;342
PRD008;3;2009;330
PRD008;4;2009;316
PRD008;5;2009;352
PRD008;6;2009;372
PRD008;7;2009;396
PRD008;8;2009;481
PRD008;9;2009;483
PRD008;10;2009;477
PRD008;11;2009;507
PRD008;12;2009;603
PRDZZZ;1;2008;251
PRDZZZ;2;2008;241
PRDZZZ;3;2008;229
PRDZZZ;4;2008;215
PRDZZZ;5;2008;251
PRDZZZ;6;2008;272
PRDZZZ;7;2008;296
PRDZZZ;8;2008;380
PRDZZZ;9;2008;382
PRDZZZ;10;2008;376
PRDZZZ;11;2008;406
PRDZZZ;12;2008;503
PRDZZZ;1;2009;352
PRDZZZ;2;2009;342
PRDZZZ;3;2009;330
PRDZZZ;4;2009;316
PRDZZZ;5;2009;352
PRDZZZ;6;2009;372
PRDZZZ;7;2009;396
PRDZZZ;8;2009;481
PRDZZZ;9;2009;483
PRDZZZ;10;2009;477
PRDZZZ;11;2009;507
PRDZZZ;12;2009;603
PRDZZZZ;12;2009;603
