Soc;Annee;Mois;qqt_achetee
001;2008;01;1
001;2008;01;114
001;2008;01;68
001;2008;01;105
001;2008;01;36
001;2008;01;157
001;2008;01;133
001;2008;01;33
001;2008;01;235
001;2008;01;24
001;2008;01;38
001;2008;01;207
001;2008;01;90
001;2008;01;15
001;2008;01;200
001;2008;01;235
001;2008;01;28
001;2008;01;3
001;2008;01;44
001;2008;01;35
001;2008;01;139
001;2008;01;30
001;2008;01;138
001;2008;01;150
001;2008;01;182
001;2008;01;207
001;2008;01;11
001;2008;01;214
001;2008;01;1
001;2008;01;212
001;2008;01;198
001;2008;02;108
001;2008;02;26
001;2008;02;66
001;2008;02;40
001;2008;02;155
001;2008;02;32
001;2008;02;135
001;2008;02;97
001;2008;02;211
001;2008;02;155
001;2008;02;52
001;2008;02;199
001;2008;02;195
001;2008;02;148
001;2008;02;97
001;2008;02;18
001;2008;02;128
001;2008;02;60
001;2008;02;123
001;2008;02;138
001;2008;02;13
001;2008;02;191
001;2008;02;108
001;2008;02;236
001;2008;02;149
001;2008;02;36
001;2008;02;34
001;2008;02;83
001;2008;03;234
001;2008;03;115
001;2008;03;187
001;2008;03;234
001;2008;03;132
001;2008;03;135
001;2008;03;217
001;2008;03;63
001;2008;03;61
001;2008;03;242
001;2008;03;149
001;2008;03;194
001;2008;03;15
001;2008;03;52
001;2008;03;37
001;2008;03;228
001;2008;03;22
001;2008;03;230
001;2008;03;236
001;2008;03;210
001;2008;03;143
001;2008;03;54
001;2008;03;31
001;2008;03;42
001;2008;03;54
001;2008;03;204
001;2008;03;75
001;2008;03;30
001;2008;03;214
001;2008;03;164
001;2008;03;55
001;2008;04;155
001;2008;04;133
001;2008;04;228
001;2008;04;138
001;2008;04;32
001;2008;04;143
001;2008;04;75
001;2008;04;21
001;2008;04;144
001;2008;04;127
001;2008;04;28
001;2008;04;9
001;2008;04;225
001;2008;04;4
001;2008;04;217
001;2008;04;26
001;2008;04;108
001;2008;04;20
001;2008;04;173
001;2008;04;203
001;2008;04;8
001;2008;04;34
001;2008;04;66
001;2008;04;14
001;2008;04;105
001;2008;04;41
001;2008;04;142
001;2008;04;46
001;2008;04;103
001;2008;04;227
001;2008;05;22
001;2008;05;100
001;2008;05;54
001;2008;05;93
001;2008;05;119
001;2008;05;163
001;2008;05;48
001;2008;05;211
001;2008;05;58
001;2008;05;141
001;2008;05;124
001;2008;05;81
001;2008;05;235
001;2008;05;160
001;2008;05;210
001;2008;05;88
001;2008;05;166
001;2008;05;233
001;2008;05;75
001;2008;05;194
001;2008;05;193
001;2008;05;1
001;2008;05;46
001;2008;05;30
001;2008;05;61
001;2008;05;75
001;2008;05;100
001;2008;05;198
001;2008;05;49
001;2008;05;185
001;2008;05;235
001;2008;06;0
001;2008;06;139
001;2008;06;193
001;2008;06;216
001;2008;06;60
001;2008;06;67
001;2008;06;95
001;2008;06;100
001;2008;06;78
001;2008;06;158
001;2008;06;223
001;2008;06;122
001;2008;06;188
001;2008;06;149
001;2008;06;20
001;2008;06;239
001;2008;06;220
001;2008;06;60
001;2008;06;56
001;2008;06;185
001;2008;06;174
001;2008;06;132
001;2008;06;5
001;2008;06;177
001;2008;06;72
001;2008;06;54
001;2008;06;204
001;2008;06;28
001;2008;06;128
001;2008;06;222
001;2008;07;192
001;2008;07;45
001;2008;07;31
001;2008;07;214
001;2008;07;108
001;2008;07;229
001;2008;07;3
001;2008;07;92
001;2008;07;195
001;2008;07;73
001;2008;07;49
001;2008;07;194
001;2008;07;134
001;2008;07;204
001;2008;07;13
001;2008;07;74
001;2008;07;61
001;2008;07;25
001;2008;07;101
001;2008;07;55
001;2008;07;230
001;2008;07;241
001;2008;07;194
001;2008;07;99
001;2008;07;57
001;2008;07;132
001;2008;07;72
001;2008;07;201
001;2008;07;59
001;2008;07;235
001;2008;07;32
001;2008;08;168
001;2008;08;193
001;2008;08;83
001;2008;08;182
001;2008;08;91
001;2008;08;106
001;2008;08;132
001;2008;08;147
001;2008;08;92
001;2008;08;175
001;2008;08;170
001;2008;08;126
001;2008;08;62
001;2008;08;201
001;2008;08;51
001;2008;08;94
001;2008;08;53
001;2008;08;244
001;2008;08;213
001;2008;08;11
001;2008;08;131
001;2008;08;76
001;2008;08;31
001;2008;08;202
